"pr","title","base","head","head_sha","type","status","review_priority","team_action","scope_note"
"40","[feat] 자료 분석 작업 생성 API 추가","feature/room-ai-documents-api","feature/analyze-resource-job-api","e2b7e5c","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","자료 분석 job 생성 기본 API 골격"
"41","[feat] 요구사항 후보 생성 작업 API 추가","feature/analyze-resource-job-api","feature/generate-requirements-job-api","4088d62","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","요구사항 후보 job 생성 기본 API 골격"
"42","[feat] TODO 후보 생성 작업 API 추가","feature/generate-requirements-job-api","feature/generate-tasks-job-api","8bdc107","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","TODO 후보 job 생성 기본 API 골격"
"43","[feat] WBS 후보 생성 작업 API 추가","feature/generate-tasks-job-api","feature/generate-wbs-job-api","1145670","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","WBS 후보 job 생성 기본 API 골격"
"44","[feat] 확인 질문 후보 생성 작업 API 추가","feature/generate-wbs-job-api","feature/generate-questions-job-api","2ac6438","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","확인 질문 후보 job 생성 기본 API 골격"
"45","[feat] 계약서 문서 검토 작업 API 추가","feature/generate-questions-job-api","feature/review-contract-documents-job-api","6ef6595","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","계약서 문서 검토 job 생성 기본 API 골격"
"46","[feat] 자료 다운로드 URL API 뼈대 추가","feature/resource-related-api","feature/resource-download-url-api","c5632d8","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","자료 다운로드 URL provider 경계"
"47","[feat] 내 프로필 수정 API 추가","develop","feature/user-me-update-api","bef21d7","develop-ready","CI PASS review-required","high","팀 리뷰 후 develop 병합 검토 가능","내 프로필 수정 기본 API 골격"
"48","[feat] 사용자 설정 API 추가","feature/user-me-update-api","feature/user-preferences-api","82a515e","stacked","CLEAN no-checks","after-47","앞 PR #47 이후 리뷰","사용자 설정 기본 API 골격"
"49","[feat] 사용자 알림 설정 API 추가","feature/user-preferences-api","feature/user-notification-preferences-api","6f53d4e","stacked","CLEAN no-checks","after-48","앞 PR #48 이후 리뷰","사용자 알림 설정 기본 API 골격"
"50","[feat] 사용자 개인정보 동의 API 추가","feature/user-notification-preferences-api","feature/user-privacy-consents-api","dbfc595","stacked","CLEAN no-checks","after-49","앞 PR #49 이후 리뷰","개인정보 동의 기본 API 골격"
"51","[feat] 내 프로젝트룸 목록 API 추가","feature/user-privacy-consents-api","feature/user-project-rooms-api","8650257","stacked","UNKNOWN no-checks","needs-refresh","최신 #50 기준 재검증 후 리뷰","내 프로젝트룸 목록 기본 API 골격"
"52","[feat] S3 다운로드 URL Provider 추가","feature/resource-download-url-api","feature/s3-download-url-provider","31d9eb8","stacked","CLEAN no-checks","after-46","앞 PR #46 이후 리뷰","S3 다운로드 URL provider 구현 경계"
"53","[feat] 에이전트 작업 dispatch 경계 추가","feature/review-contract-documents-job-api","feature/agent-job-dispatch-boundary","b0dec9a","stacked","CLEAN no-checks","after-45","앞 PR #45 이후 리뷰","에이전트 dispatch 경계와 in-memory adapter 초안"
"54","[feat] S3 저장 서비스 경계 추가","feature/s3-download-url-provider","feature/s3-storage-service-boundary","0f48244","stacked","CLEAN no-checks","after-52","앞 PR #52 이후 리뷰","S3 저장/삭제 서비스 경계"
"55","[feat] 자료 multipart 업로드 API 연결","feature/s3-storage-service-boundary","feature/resource-multipart-upload-api","cb94fa1","stacked","CLEAN no-checks","after-54","앞 PR #54 이후 리뷰","multipart 업로드 기본 API 연결"
"56","[feat] 자료 업로드 실패 보상 삭제 추가","feature/resource-multipart-upload-api","feature/resource-upload-compensation","6d29e0d","stacked","CLEAN no-checks","after-55","앞 PR #55 이후 리뷰","업로드 실패 보상 삭제 기본 흐름"
"57","[feat] 자료 업로드 정책 검사 추가","feature/resource-upload-compensation","feature/resource-upload-policy","60b9470","stacked","CLEAN no-checks","after-56","앞 PR #56 이후 리뷰","업로드 크기와 MIME 정책 기본 검사"
"58","[feat] 프로젝트룸 수정 결제 종료 API 추가","feature/project-room-members-invitations","feature/project-room-management-api","e471787","stacked","CLEAN no-checks","replaced-by-85","develop 대상 #85 우선 리뷰","프로젝트룸 수정/결제/종료 기본 API 골격"
"59","[feat] 프로젝트룸 이벤트 조회 API 추가","feature/project-room-management-api","feature/project-room-events-api","825da57","stacked","CLEAN no-checks","develop-candidate","base merge 후 develop 대상 재구성 후보","프로젝트룸 이벤트 조회 기본 API 골격"
"60","[feat] 에이전트 dispatch 재시도 기반 추가","feature/agent-job-dispatch-boundary","feature/agent-dispatch-retry-foundation","0222389","stacked","CLEAN no-checks","after-53","앞 PR #53 이후 리뷰","에이전트 dispatch 재시도 기반"
"61","[feat] 프로젝트룸 변경 이벤트 저장 추가","feature/project-room-events-api","feature/project-room-event-recording","04a065d","stacked","CLEAN no-checks","after-59","앞 PR #59 이후 리뷰","프로젝트룸 변경 이벤트 저장 기본 흐름"
"62","[test] 핵심 도메인 FK 정합성 보강","feature/entity-flyway-alignment","feature/core-domain-fk-alignment","6f553a5","stacked-draft","DIRTY draft","hold","충돌 해소 전 병합 보류","핵심 도메인 FK 정합성 테스트"
"63","[feat] 에이전트 dispatch 재시도 worker 추가","feature/agent-dispatch-retry-foundation","feature/agent-dispatch-retry-worker","065f9f0","stacked","CLEAN no-checks","after-60","앞 PR #60 이후 리뷰","에이전트 dispatch 재시도 worker"
"64","feat: connect resource upload storage usage","feature/resource-upload-policy","feature/resource-upload-storage-usage","637fa26","stacked","CLEAN no-checks","after-57","앞 PR #57 이후 리뷰","자료 업로드와 저장공간 사용량 연결"
"65","[feat] 에이전트 dispatch 재시도 scheduler 추가","feature/agent-dispatch-retry-worker","feature/agent-dispatch-retry-scheduler","037c397","stacked","CLEAN no-checks","after-63","앞 PR #63 이후 리뷰","에이전트 dispatch 재시도 scheduler"
"66","[feat] 에이전트 dispatch Redis adapter 추가","feature/agent-dispatch-retry-scheduler","feature/agent-dispatch-redis-adapter","b006662","stacked","CLEAN no-checks","after-65","앞 PR #65 이후 리뷰","Redis enqueue adapter"
"67","[feat] 자료 삭제 저장소 객체 정리 추가","feature/resource-upload-storage-usage","feature/resource-delete-storage-cleanup","0fac143","stacked","DIRTY no-checks","hold","최신 #64 기준 충돌 해소 후 리뷰","자료 삭제 시 storage object 정리"
"68","[feat] 에이전트 dispatch Redis consumer 경계 추가","feature/agent-dispatch-redis-adapter","feature/agent-dispatch-redis-consumer","6c47fde","stacked","CLEAN no-checks","after-66","앞 PR #66 이후 리뷰","Redis consume 경계"
"69","[feat] 에이전트 dispatch worker shell 추가","feature/agent-dispatch-redis-consumer","feature/agent-dispatch-worker-loop","5c8f54b","stacked","CLEAN no-checks","after-68","앞 PR #68 이후 리뷰","worker shell과 RUNNING 전이"
"70","[feat] 에이전트 실행 최종 상태 기록 추가","feature/agent-dispatch-worker-loop","feature/agent-dispatch-final-transition","ae29e3b","stacked","CLEAN no-checks","after-69","앞 PR #69 이후 리뷰","job 최종 상태 기록"
"71","[feat] 에이전트 dispatch 실행 port 연결","feature/agent-dispatch-final-transition","feature/agent-dispatch-execution-port","6ee11e5","stacked","CLEAN no-checks","after-70","앞 PR #70 이후 리뷰","execution port 연결 shell"
"72","[feat] 에이전트 dispatch DB outbox 기반 추가","feature/agent-dispatch-execution-port","feature/agent-dispatch-db-outbox","f9c6ea9","stacked","CLEAN no-checks","after-71","앞 PR #71 이후 리뷰","DB outbox 기반"
"73","[feat] 에이전트 dispatch outbox poller 추가","feature/agent-dispatch-db-outbox","feature/agent-dispatch-outbox-poller","1aee085","stacked","CLEAN no-checks","after-72","앞 PR #72 이후 리뷰","outbox poller"
"74","[feat] 에이전트 dispatch outbox scheduler 추가","feature/agent-dispatch-outbox-poller","feature/agent-dispatch-outbox-scheduler","661b57f","stacked","CLEAN no-checks","after-73","앞 PR #73 이후 리뷰","outbox scheduler"
"75","[feat] 자료 삭제 저장소 재시도 기록 추가","feature/resource-delete-storage-cleanup","feature/resource-delete-cleanup-retry","4a563a5","stacked","CLEAN no-checks","after-67","앞 PR #67 이후 리뷰","자료 삭제 실패 retry record"
"76","[feat] 자료 삭제 저장소 재시도 worker 추가","feature/resource-delete-cleanup-retry","feature/resource-delete-retry-worker","75fb12d","stacked","CLEAN no-checks","after-75","앞 PR #75 이후 리뷰","자료 삭제 retry worker"
"77","[feat] 자료 삭제 저장소 재시도 scheduler 추가","feature/resource-delete-retry-worker","feature/resource-delete-retry-scheduler","b8f9f22","stacked","CLEAN no-checks","after-76","앞 PR #76 이후 리뷰","자료 삭제 retry scheduler"
"78","[feat] 에이전트 실행 결과 후보 저장 연결","feature/agent-dispatch-outbox-scheduler","feature/agent-result-suggestion-recorder","4fb184b","stacked","CLEAN no-checks","after-74","앞 PR #74 이후 리뷰","에이전트 실행 결과 후보 저장 연결"
"79","[feat] 에이전트 모델 호출 로그 저장 연결","feature/agent-result-suggestion-recorder","feature/agent-model-call-log-recorder","6dab1d0","stacked","CLEAN no-checks","after-78","앞 PR #78 이후 리뷰","모델 호출 로그 저장 연결"
"80","[feat] 자료 삭제 dead-letter 조회 기반 추가","feature/resource-delete-retry-scheduler","feature/resource-delete-dead-letter-api","4cfcf40","stacked","CLEAN no-checks","after-77","앞 PR #77 이후 리뷰","dead-letter 조회 기반"
"81","[test] 자료 삭제 dead-letter 조회 인덱스 보강","feature/resource-delete-dead-letter-api","feature/resource-delete-dead-letter-index","9f121bf","stacked","CLEAN no-checks","after-80","앞 PR #80 이후 리뷰","dead-letter 조회 인덱스"
"83","[feat] 타이머 작업시간 기본 API 추가","develop","codex/develop-time-log-basic-api","774502c","develop-ready","CI PASS review-required","high","팀 리뷰 후 develop 병합 검토 가능","time-log 기본 API 골격"
"84","[chore] Terraform RDS 백업 및 삭제 보호 설정 추가","develop","chore/terraform-rds-backup","5b0a910","develop-ready","CI PASS review-required","infra-review","인프라 담당자 리뷰 후 병합 검토","RDS 백업과 삭제 보호 설정"
"85","[feat] 프로젝트룸 수정 결제 종료 API 추가","develop","codex/develop-project-room-management-api","c404b02","develop-ready","CI PASS review-required","high","팀 리뷰 후 develop 병합 검토 가능","프로젝트룸 수정/결제/종료 기본 API 골격"
